                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.86064,                0.72096,                 1.0395,                0.83753,                 0.8449,                0.88637,                0.72555,                0.74525,                0.53897,                0.93322,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.83225,                0.70384,                 1.0387,                0.84818,                0.84192,                0.88659,                0.72922,                0.74368,                0.54129,                0.93259,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.88184,                0.75394,                 1.0424,                0.85916,                0.83434,                0.88619,                0.73006,                0.74117,                  0.541,                0.93144,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                 0.8095,                0.69274,                 1.0266,                0.86354,                0.82683,                0.87923,                0.73009,                0.73801,                0.54131,                0.93016,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.86608,                0.72102,                 1.0398,                0.86682,                0.82519,                0.87875,                0.73309,                0.73609,                0.53859,                0.92904,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.83431,                0.68152,                 1.0243,                0.88966,                0.82458,                0.88693,                0.73604,                0.73244,                0.53597,                0.92781,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.82397,                0.68689,                 1.0388,                0.89721,                0.82314,                 0.8889,                0.73643,                0.72935,                0.53469,                0.92647,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.80397,                0.67224,                 1.0283,                0.89907,                0.82099,                0.88767,                0.73798,                0.72726,                0.53257,                0.92547,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.84689,                0.71881,                 1.0298,                0.90193,                0.81699,                0.88723,                0.73795,                0.72496,                0.52959,                 0.9245,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.84776,                0.70238,                 1.0453,                0.90896,                0.81841,                0.89042,                0.73942,                0.72291,                0.52703,                0.92295,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.85622,                0.68696,                 1.0373,                0.90482,                0.81903,                0.89057,                0.74212,                0.72146,                0.52438,                0.92229,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.86308,                0.69567,                 1.0199,                0.90046,                 0.8185,                0.88826,                0.74315,                0.72093,                0.52393,                0.92113,             2.9464e-05,             2.9464e-05,             2.9464e-05
