                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.91247,                0.76674,                  1.064,                0.87627,                0.80385,                0.87692,                0.71726,                0.77753,                0.58758,                0.94813,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.88941,                0.78478,                 1.0674,                0.88391,                0.80166,                0.87531,                0.71896,                0.77248,                0.58362,                0.94566,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.90251,                0.75006,                 1.0609,                0.89846,                0.80014,                0.87539,                0.71587,                0.76523,                0.58168,                0.94218,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.84478,                0.74176,                 1.0473,                0.90715,                0.79578,                0.87616,                0.71443,                0.76009,                0.57511,                0.94004,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.84313,                 0.7604,                 1.0433,                0.91258,                 0.7913,                0.87859,                 0.7168,                0.75784,                0.56927,                0.93865,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.83928,                0.73279,                 1.0506,                0.91297,                0.79127,                0.87943,                 0.7168,                0.75819,                0.56537,                0.93864,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.83295,                0.73291,                 1.0197,                0.91553,                0.78918,                0.87966,                0.71738,                0.75608,                0.56212,                0.93752,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.88245,                0.74038,                  1.041,                0.91105,                0.78706,                0.87691,                0.71568,                0.75529,                0.56214,                0.93739,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.86047,                0.72761,                 1.0313,                0.91018,                  0.795,                 0.8807,                0.72256,                  0.754,                 0.5637,                 0.9362,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.90109,                0.73026,                 1.0465,                 0.9014,                0.80061,                0.88254,                0.72226,                0.75314,                0.56286,                 0.9361,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.92168,                 0.7719,                 1.0802,                0.91016,                0.79425,                0.88338,                0.72322,                0.75264,                0.56255,                0.93572,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.86169,                0.72511,                 1.0575,                0.90049,                0.80982,                0.88448,                 0.7249,                0.75125,                 0.5604,                0.93537,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.84204,                0.72534,                 1.0487,                0.89689,                0.81106,                0.88313,                 0.7254,                 0.7496,                0.55743,                0.93508,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.85835,                0.73317,                 1.0368,                0.88364,                0.81552,                0.88405,                0.72621,                0.74927,                0.55459,                0.93406,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.87422,                0.73431,                 1.0418,                0.88243,                0.81417,                 0.8845,                0.72799,                0.74646,                0.55265,                0.93137,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                  0.841,                0.72112,                  1.026,                 0.8788,                0.81525,                0.88533,                0.73028,                0.74182,                0.54988,                0.92926,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.82877,                0.72403,                 1.0358,                0.88127,                0.81552,                0.88413,                0.73104,                0.74027,                0.54698,                0.92731,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.82008,                0.71076,                 1.0266,                0.87243,                0.81722,                0.88378,                0.72997,                0.73788,                0.54464,                0.92599,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.83427,                 0.7127,                 1.0232,                0.86912,                0.82018,                0.88456,                 0.7307,                0.73376,                0.54319,                0.92416,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.83595,                0.73024,                 1.0482,                 0.8701,                0.82113,                0.88346,                0.72886,                0.73141,                0.54263,                0.92284,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.84757,                0.73972,                 1.0513,                0.87104,                0.82083,                0.88438,                0.72806,                0.72954,                0.54307,                0.92186,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                 0.8413,                0.72659,                 1.0358,                0.88334,                0.81608,                0.88366,                0.73031,                0.72789,                0.54279,                0.92144,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.86083,                0.72236,                 1.0415,                0.89126,                0.81321,                0.88358,                0.73167,                0.72664,                0.54137,                0.92101,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.86768,                0.69467,                 1.0262,                0.90897,                0.80504,                0.88434,                0.73282,                0.72422,                0.53905,                0.92039,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.83849,                0.69467,                 1.0272,                0.91912,                0.79998,                0.88546,                0.73132,                0.72238,                0.53782,                0.91972,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.82606,                0.67574,                 1.0351,                0.91757,                0.80133,                0.88449,                0.73226,                0.72099,                0.53619,                0.91896,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.80653,                0.67634,                 1.0366,                0.91893,                0.80165,                0.88558,                0.73181,                0.71891,                0.53327,                0.91813,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                0.82521,                0.69552,                 1.0266,                0.91636,                0.80462,                0.88731,                0.73358,                0.71653,                0.53165,                0.91707,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.80408,                0.65144,                  1.025,                0.92663,                0.80202,                0.88963,                 0.7351,                0.71506,                 0.5296,                0.91655,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.79487,                0.68466,                  1.023,                0.92643,                0.80031,                0.88796,                0.73511,                0.71535,                0.52789,                 0.9169,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.83083,                0.69656,                 1.0395,                 0.9323,                0.80041,                0.88778,                0.73527,                0.71399,                0.52469,                0.91704,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                0.78977,                 0.6966,                 1.0245,                0.93245,                0.79801,                0.88968,                0.73504,                0.71278,                0.52313,                0.91701,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.85275,                0.72642,                 1.0354,                0.92798,                0.79986,                0.88907,                0.73566,                0.71354,                 0.5241,                0.91679,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.85441,                0.71085,                 1.0328,                0.93017,                 0.8045,                0.89046,                0.73825,                0.71346,                 0.5242,                0.91667,             2.4752e-05,             2.4752e-05,             2.4752e-05
